**CloudWatch Logs Insights**    
region: us-west-2    
log-group-names: /aws/lambda/kmullaney-no-outbound-vpc-nodejs18x    
start-time: -3600s    
end-time: 0s    
query-string:
  ```
  filter @logStream = '2024/02/02/[$LATEST]2fffb26cb3534e46be7741d8091ab68c'
 | fields @timestamp, @message
 | sort @timestamp asc
  ```
---
| @timestamp | @message |
| 2024-02-02 20:10:47.555 | {"v":0,"level":30,"name":"newrelic","hostname":"169.254.63.45","pid":16,"time":"2024-02-02T20:10:47.474Z","msg":"Using AsyncLocalContextManager"} |
| 2024-02-02 20:10:47.555 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.63.45","pid":16,"time":"2024-02-02T20:10:47.478Z","msg":"Wrapping 1 properties on nodule.","component":"Shim","module":"globals"} |
| 2024-02-02 20:10:47.555 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.63.45","pid":16,"time":"2024-02-02T20:10:47.478Z","msg":"Replacing \"_fatalException\" with wrapped version","component":"Shim","module":"globals"} |
| 2024-02-02 20:10:47.555 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.63.45","pid":16,"time":"2024-02-02T20:10:47.478Z","msg":"Wrapping 1 properties on nodule.","component":"Shim","module":"globals"} |
| 2024-02-02 20:10:47.555 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.63.45","pid":16,"time":"2024-02-02T20:10:47.478Z","msg":"Replacing \"emit\" with wrapped version","component":"Shim","module":"globals"} |
| 2024-02-02 20:10:47.555 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.63.45","pid":16,"time":"2024-02-02T20:10:47.478Z","msg":"Wrapping 1 properties on nodule.","component":"Shim","module":"globals"} |
| 2024-02-02 20:10:47.555 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.63.45","pid":16,"time":"2024-02-02T20:10:47.478Z","msg":"Replacing \"setUncaughtExceptionCaptureCallback\" with wrapped version","component":"Shim","module":"globals"} |
| 2024-02-02 20:10:47.555 | {"v":0,"level":20,"name":"newrelic","hostname":"169.254.63.45","pid":16,"time":"2024-02-02T20:10:47.479Z","msg":"New AsyncLocalStorage context enabled. Not enabling manual async_hooks or promise instrumentation","component":"async_hooks"} |
| 2024-02-02 20:10:47.555 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.63.45","pid":16,"time":"2024-02-02T20:10:47.480Z","msg":"Wrapping 2 properties on nodule.","component":"Shim","module":"child_process"} |
| 2024-02-02 20:10:47.555 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.63.45","pid":16,"time":"2024-02-02T20:10:47.480Z","msg":"Wrapping \"exec\" with metric recording.","component":"Shim","module":"child_process"} |
| 2024-02-02 20:10:47.555 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.63.45","pid":16,"time":"2024-02-02T20:10:47.480Z","msg":"Replacing \"exec\" with wrapped version","component":"Shim","module":"child_process"} |
| 2024-02-02 20:10:47.555 | {"v":0,"level":10,"name":"newrelic","hostname":"169.254.63.45","pid":16,"time":"2024-02-02T20:10:47.480Z","msg":"Wrapping \"execFile\" with metric recording.","component":"Shim","module":"child_process"} |
